Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,NGR,1992 Summer,Athletics,Silver,22.0,186.0,78.0
F,BRA,2012 Summer,Volleyball,Gold,25.0,187.0,65.0
M,FRA,1992 Summer,Canoeing,Bronze,23.0,180.0,70.0
M,FRA,1996 Summer,Canoeing,Gold,26.0,180.0,70.0
M,GER,2010 Winter,Bobsleigh,Silver,27.0,190.0,110.0
M,USA,1996 Summer,Athletics,Gold,26.0,188.0,80.0
M,BRA,1984 Summer,Sailing,Silver,26.0,180.0,72.0
M,GER,1960 Summer,Cycling,Silver,23.0,172.0,62.0
F,GBR,2008 Summer,Swimming,Gold,19.0,179.0,70.0
F,GBR,2012 Summer,Swimming,Bronze,23.0,179.0,70.0
F,GBR,2012 Summer,Swimming,Bronze,23.0,179.0,70.0
M,LTU,2000 Summer,Basketball,Bronze,26.0,202.0,100.0
M,USA,2008 Summer,Swimming,Gold,19.0,198.0,100.0
M,USA,2012 Summer,Swimming,Gold,23.0,198.0,100.0
M,USA,2012 Summer,Swimming,Silver,23.0,198.0,100.0
M,USA,2012 Summer,Swimming,Gold,23.0,198.0,100.0
M,USA,2016 Summer,Swimming,Bronze,27.0,198.0,100.0
M,USA,2016 Summer,Swimming,Bronze,27.0,198.0,100.0
M,USA,2016 Summer,Swimming,Gold,27.0,198.0,100.0
M,USA,2016 Summer,Swimming,Gold,27.0,198.0,100.0
F,BRA,1996 Summer,Basketball,Silver,25.0,180.0,61.0
F,BRA,2000 Summer,Basketball,Bronze,29.0,180.0,61.0
F,BRA,2000 Summer,Basketball,Bronze,21.0,170.0,65.0
M,HUN,1996 Summer,Canoeing,Silver,30.0,189.0,87.0
M,GER,1964 Summer,Rowing,Silver,24.0,189.0,82.0
F,RUS,2012 Summer,Gymnastics,Silver,20.0,158.0,48.0
M,RUS,2002 Winter,Ice Hockey,Bronze,22.0,183.0,88.0
F,NGR,1996 Summer,Athletics,Silver,20.0,180.0,62.0
F,ROU,1976 Summer,Rowing,Bronze,22.0,178.0,70.0
M,RSA,2016 Summer,Rugby Sevens,Bronze,28.0,175.0,75.0
M,PAK,1964 Summer,Hockey,Silver,25.0,173.0,76.0
M,RSA,2016 Summer,Rugby Sevens,Bronze,27.0,193.0,104.0
F,ROU,1984 Summer,Gymnastics,Gold,16.0,148.0,40.0
F,ROU,1984 Summer,Gymnastics,Bronze,16.0,148.0,40.0
M,ITA,2004 Summer,Rowing,Bronze,24.0,187.0,93.0
M,ITA,2008 Summer,Rowing,Silver,27.0,187.0,93.0
M,USA,1996 Summer,Tennis,Gold,26.0,180.0,80.0
F,FRA,2016 Summer,Judo,Silver,23.0,164.0,66.0
M,URS,1956 Summer,Water Polo,Bronze,20.0,184.0,80.0
M,URS,1960 Summer,Water Polo,Silver,24.0,184.0,80.0
M,URS,1964 Summer,Water Polo,Bronze,28.0,184.0,80.0
F,NED,2008 Summer,Hockey,Gold,29.0,172.0,58.0
F,NED,2012 Summer,Hockey,Gold,33.0,172.0,58.0
M,FRA,2012 Summer,Swimming,Gold,20.0,202.0,90.0
M,FRA,2012 Summer,Swimming,Gold,20.0,202.0,90.0
M,FRA,2012 Summer,Swimming,Silver,20.0,202.0,90.0
F,CAN,2006 Winter,Ice Hockey,Gold,18.0,168.0,67.0
F,CAN,2010 Winter,Ice Hockey,Gold,23.0,168.0,67.0
F,CAN,2014 Winter,Ice Hockey,Gold,26.0,168.0,67.0
M,USA,2006 Winter,Figure Skating,Silver,24.0,178.0,75.0
F,HUN,1964 Summer,Fencing,Gold,27.0,164.0,62.0
M,ARG,2008 Summer,Football,Gold,20.0,172.0,74.0
F,CUB,2000 Summer,Volleyball,Gold,23.0,175.0,70.0
M,CUB,1980 Summer,Boxing,Bronze,20.0,173.0,64.0
F,ESP,2012 Summer,Handball,Bronze,27.0,170.0,67.0
F,ESP,2016 Summer,Rhythmic Gymnastics,Silver,23.0,167.0,50.0
M,CUB,1992 Summer,Athletics,Bronze,26.0,172.0,64.0
F,INA,2016 Summer,Weightlifting,Silver,21.0,147.0,47.0
F,USA,2008 Summer,Volleyball,Silver,32.0,172.0,67.0
M,USA,1972 Winter,Ice Hockey,Silver,23.0,175.0,73.0
M,GBR,1908 Summer,Athletics,Gold,22.0,170.0,57.0
M,FIN,1932 Summer,Boxing,Bronze,21.0,168.0,69.5
M,SWE,1980 Winter,Ice Hockey,Bronze,32.0,179.0,78.0
F,SWE,2002 Winter,Ice Hockey,Bronze,27.0,177.0,75.0
M,SWE,1984 Winter,Ice Hockey,Bronze,24.0,182.0,90.0
M,GER,2004 Summer,Equestrianism,Bronze,29.0,189.0,80.0
M,GER,2016 Summer,Equestrianism,Bronze,41.0,189.0,80.0
M,INA,2016 Summer,Badminton,Gold,29.0,179.0,72.0
M,SWE,1948 Summer,Athletics,Gold,23.0,176.0,64.0
M,GER,2000 Summer,Beach Volleyball,Bronze,34.0,190.0,88.0
F,USA,1992 Summer,Swimming,Gold,22.0,172.0,52.0
F,USA,1992 Summer,Swimming,Silver,22.0,172.0,52.0
F,USA,1992 Summer,Swimming,Gold,22.0,172.0,52.0
M,PAK,1968 Summer,Hockey,Gold,21.0,162.0,62.0
M,PAK,1960 Summer,Hockey,Gold,25.0,171.0,67.0
M,PAK,1984 Summer,Hockey,Gold,21.0,170.0,62.0
M,PAK,1992 Summer,Hockey,Bronze,24.0,169.0,75.0
M,PAK,1984 Summer,Hockey,Gold,28.0,170.0,70.0
M,PAK,1960 Summer,Hockey,Gold,27.0,173.0,61.0
M,PAK,1968 Summer,Hockey,Gold,27.0,150.0,70.0
M,PAK,1972 Summer,Hockey,Silver,30.0,150.0,70.0
M,PAK,1992 Summer,Hockey,Bronze,23.0,175.0,61.0
M,FIN,2002 Winter,Ski Jumping,Silver,24.0,184.0,66.0
M,FIN,2006 Winter,Ski Jumping,Silver,28.0,184.0,66.0
M,GER,1964 Summer,Sailing,Silver,30.0,169.0,66.0
F,GDR,1976 Summer,Rowing,Gold,23.0,178.0,85.0
