Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,FRA,2016 Summer,Swimming,Silver,23.0,187.0,75.0
M,BRA,1988 Summer,Judo,Gold,24.0,180.0,95.0
M,BRA,1996 Summer,Judo,Bronze,32.0,180.0,95.0
M,ESP,1984 Summer,Canoeing,Bronze,18.0,173.0,74.0
F,RUS,2008 Summer,Athletics,Silver,24.0,168.0,58.0
F,SRB,2016 Summer,Volleyball,Silver,25.0,190.0,83.0
M,YUG,1956 Summer,Athletics,Silver,36.0,175.0,58.0
F,ROU,1984 Summer,Rowing,Silver,26.0,178.0,77.0
M,SCG,2000 Summer,Volleyball,Gold,27.0,186.0,80.0
M,SWE,1948 Summer,Athletics,Gold,34.0,183.0,73.0
M,SWE,1952 Summer,Athletics,Gold,38.0,183.0,73.0
M,JPN,1992 Winter,Nordic Combined,Gold,25.0,171.0,56.0
M,URS,1972 Summer,Gymnastics,Silver,22.0,165.0,59.0
M,NGR,2016 Summer,Football,Bronze,29.0,179.0,86.0
M,URS,1956 Summer,Athletics,Silver,32.0,178.0,69.0
M,TCH,1972 Summer,Handball,Silver,22.0,182.0,79.0
M,RUS,2012 Summer,Judo,Silver,32.0,195.0,115.0
M,URS,1964 Summer,Athletics,Bronze,27.0,183.0,81.0
M,BUL,1968 Summer,Football,Silver,19.0,185.0,81.0
M,URS,1972 Winter,Ice Hockey,Gold,27.0,175.0,79.0
M,URS,1976 Winter,Ice Hockey,Gold,31.0,175.0,79.0
M,URS,1980 Winter,Ice Hockey,Silver,35.0,175.0,79.0
M,BUL,1968 Summer,Boxing,Bronze,23.0,164.0,60.0
M,RUS,2008 Summer,Volleyball,Bronze,20.0,202.0,103.0
M,RUS,2012 Summer,Volleyball,Gold,24.0,202.0,103.0
M,UZB,2000 Summer,Boxing,Bronze,24.0,187.0,80.0
F,BUL,1980 Summer,Basketball,Silver,20.0,176.0,64.0
F,BUL,1976 Summer,Basketball,Bronze,22.0,176.0,69.0
F,BUL,1980 Summer,Basketball,Silver,26.0,176.0,69.0
F,URS,1968 Summer,Volleyball,Gold,30.0,163.0,62.0
M,URS,1976 Summer,Swimming,Silver,19.0,179.0,64.0
F,DEN,2004 Summer,Handball,Gold,23.0,166.0,63.0
F,CAN,2010 Winter,Ice Hockey,Gold,25.0,175.0,67.0
F,CAN,2014 Winter,Ice Hockey,Gold,29.0,175.0,67.0
M,NOR,1988 Winter,Cross Country Skiing,Silver,26.0,170.0,62.0
M,FIN,1988 Winter,Ice Hockey,Silver,23.0,180.0,82.5
M,POL,1932 Summer,Rowing,Bronze,25.0,172.0,68.0
F,POL,2008 Summer,Canoeing,Silver,22.0,170.0,68.0
F,POL,2012 Summer,Canoeing,Bronze,26.0,170.0,68.0
F,POL,2016 Summer,Canoeing,Bronze,30.0,170.0,68.0
F,BLR,1996 Summer,Rowing,Bronze,19.0,182.0,87.0
M,ITA,2000 Summer,Fencing,Gold,30.0,191.0,78.0
M,YUG,1984 Summer,Water Polo,Gold,18.0,195.0,97.0
M,YUG,1988 Summer,Water Polo,Gold,22.0,195.0,97.0
F,USA,1996 Summer,Football,Gold,23.0,155.0,56.0
F,USA,2000 Summer,Football,Silver,27.0,155.0,56.0
M,USA,1972 Summer,Athletics,Gold,22.0,183.0,79.0
M,UKR,2000 Summer,Shooting,Gold,32.0,180.0,90.0
M,SWE,1964 Winter,Ice Hockey,Silver,29.0,187.0,86.0
M,GDR,1968 Summer,Athletics,Silver,33.0,195.0,105.0
M,BUL,1980 Summer,Canoeing,Bronze,25.0,174.0,74.0
F,USA,2008 Summer,Equestrianism,Silver,34.0,163.0,57.0
F,USA,1992 Summer,Athletics,Silver,25.0,170.0,60.0
F,USA,1996 Summer,Athletics,Gold,29.0,170.0,60.0
F,USA,2000 Summer,Athletics,Gold,34.0,170.0,60.0
M,BUL,1996 Summer,Shooting,Silver,28.0,178.0,84.0
M,CUB,1992 Summer,Wrestling,Gold,24.0,185.0,130.0
M,URS,1960 Summer,Gymnastics,Silver,23.0,176.0,75.0
M,URS,1988 Summer,Weightlifting,Silver,20.0,165.0,70.0
M,EUN,1992 Summer,Weightlifting,Gold,23.0,165.0,70.0
M,URS,1976 Summer,Weightlifting,Silver,26.0,170.0,76.0
M,YUG,1972 Summer,Handball,Gold,21.0,189.0,87.0
F,MNE,2012 Summer,Handball,Silver,24.0,157.0,60.0
M,SCG,2000 Summer,Volleyball,Gold,21.0,206.0,88.0
M,YUG,1984 Summer,Football,Bronze,23.0,172.0,70.0
M,FRG,1988 Summer,Football,Bronze,30.0,176.0,71.0
M,CAN,2008 Summer,Equestrianism,Silver,61.0,185.0,76.0
M,USA,2008 Summer,Volleyball,Gold,30.0,204.0,98.0
M,CAN,1988 Summer,Sailing,Bronze,27.0,187.0,92.0
M,USA,2002 Winter,Ice Hockey,Silver,30.0,190.0,91.0
F,USA,1984 Summer,Hockey,Bronze,33.0,172.0,61.0
M,USA,1932 Summer,Athletics,Gold,19.0,172.0,70.0
M,USA,1928 Summer,Rowing,Silver,23.0,179.0,79.0
M,USA,1932 Summer,Rowing,Silver,27.0,179.0,79.0
M,USA,1952 Summer,Athletics,Silver,22.0,179.0,77.0
M,USA,2002 Winter,Alpine Skiing,Silver,24.0,188.0,91.0
M,USA,2002 Winter,Alpine Skiing,Silver,24.0,188.0,91.0
M,USA,2010 Winter,Alpine Skiing,Bronze,32.0,188.0,91.0
M,USA,2010 Winter,Alpine Skiing,Silver,32.0,188.0,91.0
M,USA,2010 Winter,Alpine Skiing,Gold,32.0,188.0,91.0
M,USA,2014 Winter,Alpine Skiing,Bronze,36.0,188.0,91.0
F,USA,1984 Summer,Basketball,Gold,20.0,190.0,68.0
M,USA,2004 Summer,Athletics,Silver,27.0,168.0,68.0
M,USA,2016 Summer,Swimming,Bronze,24.0,180.0,80.0
M,USA,2016 Summer,Swimming,Gold,24.0,180.0,80.0
M,CAN,1972 Summer,Sailing,Bronze,28.0,180.0,68.0
F,AUS,2000 Summer,Water Polo,Gold,23.0,180.0,65.0
F,USA,1996 Summer,Athletics,Gold,24.0,163.0,55.0
M,JAM,1968 Summer,Athletics,Silver,22.0,183.0,79.0
M,JAM,1972 Summer,Athletics,Bronze,25.0,183.0,79.0
M,BAH,2008 Summer,Athletics,Silver,21.0,180.0,67.0
M,BAH,2012 Summer,Athletics,Gold,25.0,180.0,67.0
F,USA,2008 Summer,Wrestling,Bronze,24.0,157.0,63.0
M,USA,1996 Summer,Basketball,Gold,31.0,200.0,86.0
M,USA,2010 Winter,Ice Hockey,Silver,29.0,188.0,76.0
M,AUS,1996 Summer,Swimming,Silver,21.0,193.0,93.0
M,AUS,1996 Summer,Swimming,Bronze,21.0,193.0,93.0
F,USA,1992 Summer,Gymnastics,Silver,15.0,147.0,39.0
F,USA,1992 Summer,Gymnastics,Bronze,15.0,147.0,39.0
F,USA,1992 Summer,Gymnastics,Bronze,15.0,147.0,39.0
F,USA,1992 Summer,Gymnastics,Silver,15.0,147.0,39.0
F,USA,1996 Summer,Gymnastics,Gold,19.0,147.0,39.0
F,BAH,2016 Summer,Athletics,Gold,22.0,185.0,69.0
F,GBR,1992 Summer,Hockey,Bronze,25.0,165.0,59.0
M,ESP,1976 Summer,Sailing,Silver,24.0,173.0,64.0
F,AUS,2004 Summer,Swimming,Gold,18.0,175.0,63.0
F,AUS,2004 Summer,Swimming,Gold,18.0,175.0,63.0
F,AUS,2008 Summer,Swimming,Bronze,22.0,175.0,63.0
M,USA,1964 Summer,Athletics,Gold,26.0,180.0,68.0
M,USA,1996 Summer,Athletics,Gold,24.0,175.0,68.0
F,GBR,2012 Summer,Sailing,Silver,24.0,157.0,50.0
F,GBR,2016 Summer,Sailing,Gold,28.0,157.0,50.0
F,AUS,2000 Summer,Water Polo,Gold,26.0,180.0,67.0
F,USA,1988 Summer,Gymnastics,Bronze,15.0,152.0,41.0
M,CAN,1984 Summer,Rowing,Bronze,26.0,193.0,80.0
M,USA,1968 Summer,Swimming,Bronze,17.0,193.0,89.0
M,USA,1968 Summer,Swimming,Gold,17.0,193.0,89.0
F,USA,1984 Summer,Hockey,Bronze,27.0,170.0,58.0
M,GBR,2016 Summer,Swimming,Silver,22.0,185.0,76.0
M,URS,1976 Summer,Basketball,Bronze,24.0,186.0,85.0
M,URS,1980 Summer,Basketball,Bronze,28.0,186.0,85.0
F,YUG,1988 Summer,Basketball,Silver,22.0,188.0,77.0
F,YUG,1980 Summer,Handball,Silver,24.0,183.0,73.0
F,SRB,2016 Summer,Basketball,Bronze,27.0,190.0,84.0
M,FRG,1984 Summer,Weightlifting,Gold,33.0,170.0,90.0
F,BLR,2000 Summer,Shooting,Bronze,36.0,158.0,64.0
M,GER,1956 Summer,Canoeing,Gold,31.0,178.0,80.0
M,BRA,1988 Summer,Football,Silver,26.0,178.0,73.0
M,SWE,1984 Summer,Swimming,Bronze,19.0,185.0,78.0
F,USA,2000 Summer,Basketball,Gold,26.0,185.0,84.0
F,USA,2008 Summer,Basketball,Gold,33.0,185.0,84.0
M,FRA,1948 Summer,Athletics,Silver,27.0,170.0,56.0
M,FRA,1952 Summer,Athletics,Silver,31.0,170.0,56.0
M,FRA,1956 Summer,Athletics,Gold,35.0,170.0,56.0
M,KOR,1992 Summer,Wrestling,Bronze,21.0,159.0,55.0
M,JPN,1964 Summer,Volleyball,Bronze,23.0,196.0,87.0
M,JPN,1968 Summer,Volleyball,Silver,27.0,196.0,87.0
M,JPN,1972 Summer,Volleyball,Gold,31.0,196.0,87.0
F,JPN,2000 Summer,Swimming,Bronze,21.0,168.0,64.0
M,URS,1960 Summer,Basketball,Silver,23.0,186.0,84.0
M,ARM,2016 Summer,Weightlifting,Silver,21.0,180.0,140.0
M,URS,1976 Summer,Football,Bronze,21.0,174.0,72.0
M,URS,1956 Summer,Weightlifting,Silver,23.0,156.0,60.0
M,URS,1960 Summer,Weightlifting,Gold,27.0,156.0,60.0
M,BUL,1996 Summer,Weightlifting,Bronze,21.0,148.0,57.0
M,SVK,2000 Summer,Canoeing,Bronze,23.0,181.0,76.0
F,HUN,2008 Summer,Fencing,Bronze,38.0,172.0,59.0
M,NED,2008 Summer,Equestrianism,Silver,34.0,190.0,75.0
M,URS,1988 Summer,Fencing,Silver,28.0,180.0,82.0
M,GEO,2008 Summer,Wrestling,Gold,32.0,175.0,84.0
F,JPN,2008 Summer,Softball,Gold,20.0,166.0,63.0
M,URS,1964 Summer,Modern Pentathlon,Gold,27.0,185.0,82.0
M,FRA,1998 Winter,Bobsleigh,Bronze,30.0,180.0,90.0
M,ITA,2008 Summer,Wrestling,Gold,26.0,179.0,84.0
M,ARG,1992 Summer,Tennis,Bronze,25.0,185.0,74.0
F,URS,1988 Summer,Basketball,Bronze,24.0,175.0,64.0
F,EUN,1992 Summer,Basketball,Gold,28.0,175.0,64.0
F,GER,2000 Summer,Football,Bronze,27.0,173.0,68.0
F,GER,2004 Summer,Football,Bronze,31.0,173.0,68.0
M,GBR,1972 Summer,Boxing,Bronze,21.0,178.0,71.0
M,JAM,2016 Summer,Athletics,Gold,21.0,178.0,85.0
F,FRA,1968 Winter,Alpine Skiing,Silver,18.0,161.0,60.0
M,CUB,2004 Summer,Baseball,Gold,25.0,178.0,92.0
F,ESP,2012 Summer,Water Polo,Silver,21.0,174.0,73.0
F,USA,2004 Summer,Wrestling,Bronze,25.0,152.0,48.0
M,SLO,1992 Summer,Rowing,Bronze,24.0,187.0,99.0
M,BLR,2012 Summer,Tennis,Gold,35.0,196.0,90.0
M,RUS,1998 Winter,Ice Hockey,Silver,25.0,190.0,106.0
M,RUS,2002 Winter,Ice Hockey,Bronze,29.0,190.0,106.0
M,EUN,1992 Winter,Ice Hockey,Gold,26.0,188.0,87.0
M,RUS,1998 Winter,Ice Hockey,Silver,32.0,188.0,87.0
M,URS,1976 Summer,Athletics,Silver,26.0,193.0,130.0
F,EUN,1992 Summer,Diving,Silver,18.0,142.0,32.0
M,URS,1988 Summer,Boxing,Bronze,24.0,193.0,91.0
M,URS,1980 Summer,Boxing,Silver,20.0,164.0,51.0
M,ESP,2016 Summer,Basketball,Bronze,25.0,208.0,100.0
M,BRA,1964 Summer,Basketball,Bronze,23.0,189.0,83.0
M,URS,1988 Summer,Weightlifting,Gold,27.0,155.0,56.0
M,AZE,2008 Summer,Judo,Bronze,34.0,183.0,103.0
M,JPN,1996 Summer,Baseball,Silver,22.0,177.0,83.0
M,EGY,2008 Summer,Judo,Bronze,26.0,176.0,90.0
F,GER,1992 Winter,Biathlon,Silver,24.0,173.0,66.0
F,GER,1992 Winter,Biathlon,Gold,24.0,173.0,66.0
F,GER,1994 Winter,Biathlon,Silver,26.0,173.0,66.0
F,URS,1980 Summer,Equestrianism,Gold,35.0,169.0,60.0
M,URS,1968 Winter,Ice Hockey,Gold,26.0,190.0,90.0
M,URS,1972 Winter,Ice Hockey,Gold,30.0,190.0,90.0
M,UKR,2016 Summer,Canoeing,Bronze,21.0,187.0,85.0
F,URS,1976 Summer,Rowing,Bronze,25.0,178.0,73.0
M,RUS,2004 Summer,Wrestling,Gold,25.0,175.0,84.0
F,JPN,2004 Summer,Softball,Bronze,22.0,163.0,63.0
F,JPN,2008 Summer,Softball,Gold,26.0,163.0,63.0
F,EUN,1992 Winter,Figure Skating,Gold,21.0,159.0,50.0
F,RUS,1994 Winter,Figure Skating,Silver,23.0,159.0,50.0
M,EUN,1992 Summer,Gymnastics,Silver,21.0,166.0,62.0
M,EUN,1992 Summer,Gymnastics,Gold,21.0,166.0,62.0
M,EUN,1992 Summer,Gymnastics,Silver,21.0,166.0,62.0
M,EUN,1992 Summer,Gymnastics,Silver,21.0,166.0,62.0
M,UKR,1996 Summer,Gymnastics,Bronze,25.0,166.0,62.0
M,URS,1980 Summer,Swimming,Silver,19.0,183.0,75.0
M,URS,1980 Summer,Swimming,Bronze,19.0,183.0,75.0
M,URS,1980 Summer,Swimming,Silver,19.0,183.0,75.0
M,YUG,1972 Summer,Handball,Gold,27.0,185.0,88.0
M,FRA,2014 Winter,Alpine Skiing,Silver,29.0,186.0,80.0
M,AUS,2008 Summer,Diving,Gold,20.0,174.0,67.0
M,USA,1904 Summer,Athletics,Bronze,40.0,187.0,100.0
F,USA,1984 Summer,Swimming,Silver,18.0,175.0,68.0
F,USA,1984 Summer,Swimming,Gold,18.0,175.0,68.0
F,USA,1988 Summer,Swimming,Silver,22.0,175.0,68.0
M,CAN,1998 Winter,Curling,Silver,28.0,183.0,86.0
M,USA,1992 Summer,Athletics,Bronze,26.0,175.0,70.0
M,USA,1992 Summer,Athletics,Gold,26.0,175.0,70.0
M,USA,1996 Summer,Athletics,Silver,30.0,175.0,70.0
M,NZL,2016 Summer,Cycling,Silver,25.0,180.0,83.0
M,USA,1960 Summer,Rowing,Bronze,21.0,173.0,51.0
M,USA,1964 Summer,Rowing,Gold,25.0,173.0,51.0
M,USA,2012 Summer,Athletics,Silver,25.0,185.0,79.0
F,USA,1984 Summer,Diving,Silver,22.0,162.0,50.0
F,USA,1988 Summer,Diving,Silver,26.0,162.0,50.0
F,JAM,1996 Summer,Athletics,Bronze,22.0,168.0,60.0
M,AUS,1980 Summer,Athletics,Silver,25.0,183.0,71.0
M,AUS,2000 Summer,Swimming,Silver,23.0,185.0,77.0
M,GBR,2016 Summer,Rugby Sevens,Silver,27.0,178.0,85.0
F,AUS,2000 Summer,Hockey,Gold,30.0,164.0,56.0
F,YUG,1980 Summer,Basketball,Bronze,26.0,170.0,56.0
M,RUS,2000 Summer,Volleyball,Silver,28.0,194.0,89.0
M,BUL,1976 Summer,Weightlifting,Gold,20.0,170.0,75.0
M,GRE,2000 Summer,Weightlifting,Silver,27.0,168.0,77.0
M,SRB,2016 Summer,Water Polo,Gold,31.0,201.0,100.0
M,SRB,2012 Summer,Water Polo,Bronze,24.0,195.0,91.0
M,SRB,2016 Summer,Water Polo,Gold,28.0,195.0,91.0
F,JPN,2016 Summer,Synchronized Swimming,Bronze,22.0,168.0,57.0
M,JPN,1960 Summer,Gymnastics,Gold,21.0,161.0,62.0
M,JPN,1964 Summer,Gymnastics,Gold,25.0,161.0,62.0
M,JPN,1968 Summer,Volleyball,Silver,21.0,184.0,76.0
F,JPN,1984 Summer,Volleyball,Bronze,26.0,177.0,63.0
F,GER,2008 Summer,Football,Bronze,23.0,168.0,58.0
F,GER,2016 Summer,Football,Gold,31.0,168.0,58.0
F,FRG,1976 Winter,Alpine Skiing,Gold,25.0,159.0,55.0
F,FRG,1976 Winter,Alpine Skiing,Silver,25.0,159.0,55.0
F,FRG,1976 Winter,Alpine Skiing,Gold,25.0,159.0,55.0
F,GER,1998 Winter,Freestyle Skiing,Silver,33.0,158.0,51.0
M,USA,1964 Summer,Rowing,Bronze,22.0,193.0,84.0
F,USA,2004 Summer,Football,Gold,26.0,165.0,55.0
F,USA,2008 Summer,Football,Gold,30.0,165.0,55.0
F,USA,2012 Summer,Football,Gold,34.0,165.0,55.0
M,JPN,2004 Summer,Baseball,Bronze,30.0,183.0,88.0
M,JPN,1992 Summer,Baseball,Bronze,22.0,178.0,78.0
M,JPN,1992 Winter,Speed Skating,Bronze,23.0,178.0,72.0
M,JPN,1984 Summer,Wrestling,Gold,25.0,155.0,57.0
M,JPN,1988 Summer,Wrestling,Silver,29.0,155.0,57.0
F,JPN,1984 Summer,Volleyball,Bronze,18.0,177.0,68.0
F,JPN,2012 Summer,Weightlifting,Silver,26.0,145.0,48.0
F,JPN,2016 Summer,Weightlifting,Bronze,30.0,145.0,48.0
M,JPN,2012 Summer,Fencing,Silver,21.0,178.0,70.0
M,JPN,1960 Summer,Weightlifting,Silver,20.0,154.0,58.0
M,JPN,1964 Summer,Weightlifting,Gold,24.0,154.0,58.0
M,JPN,1968 Summer,Weightlifting,Gold,28.0,154.0,58.0
M,JPN,1968 Summer,Weightlifting,Bronze,23.0,156.0,60.0
F,JPN,2012 Summer,Football,Silver,27.0,157.0,51.0
F,JPN,1964 Summer,Volleyball,Gold,27.0,172.0,56.0
M,JPN,1968 Summer,Football,Bronze,30.0,170.0,68.0
M,JPN,2004 Summer,Baseball,Bronze,33.0,176.0,80.0
M,JPN,1968 Summer,Football,Bronze,27.0,172.0,67.0
F,USA,2012 Summer,Volleyball,Silver,25.0,170.0,73.0
M,JPN,2008 Summer,Swimming,Bronze,24.0,182.0,72.0
M,JPN,1932 Summer,Swimming,Gold,15.0,179.0,66.0
M,JPN,1932 Summer,Swimming,Gold,15.0,179.0,66.0
F,FRA,2012 Summer,Basketball,Silver,24.0,188.0,87.0
M,LTU,2008 Summer,Wrestling,Bronze,28.0,190.0,120.0
F,JPN,1992 Summer,Judo,Silver,21.0,160.0,56.0
M,HUN,1992 Summer,Boxing,Bronze,20.0,178.0,71.0
M,HUN,1988 Summer,Modern Pentathlon,Gold,27.0,182.0,70.0
M,HUN,1992 Summer,Modern Pentathlon,Silver,31.0,182.0,70.0
M,JPN,1988 Summer,Gymnastics,Bronze,23.0,162.0,58.0
M,JPN,2016 Summer,Table Tennis,Bronze,27.0,172.0,63.0
M,JPN,2016 Summer,Table Tennis,Silver,27.0,172.0,63.0
M,JPN,2004 Summer,Gymnastics,Gold,24.0,172.0,62.0
M,ARM,1996 Summer,Wrestling,Silver,22.0,153.0,52.0
M,BUL,1980 Summer,Wrestling,Bronze,23.0,154.0,52.0
M,YUG,1984 Summer,Handball,Gold,28.0,190.0,85.0
F,USA,1998 Winter,Ice Hockey,Gold,22.0,180.0,73.0
F,USA,2002 Winter,Ice Hockey,Silver,26.0,180.0,73.0
M,AZE,2008 Summer,Judo,Gold,20.0,175.0,73.0
M,AZE,2004 Summer,Boxing,Bronze,24.0,169.0,54.0
M,AZE,2012 Summer,Boxing,Bronze,19.0,196.0,91.0
M,AZE,2004 Summer,Wrestling,Gold,22.0,174.0,66.0
F,CHN,1996 Summer,Gymnastics,Silver,17.0,140.0,38.0
M,KOR,2010 Winter,Speed Skating,Gold,20.0,177.0,80.0
M,KOR,2010 Winter,Speed Skating,Silver,20.0,177.0,80.0
M,NOR,2006 Winter,Nordic Combined,Bronze,22.0,189.0,74.0
M,NOR,2006 Winter,Nordic Combined,Silver,22.0,189.0,74.0
M,NOR,2014 Winter,Nordic Combined,Silver,30.0,189.0,74.0
M,NOR,2014 Winter,Nordic Combined,Gold,30.0,189.0,74.0
M,SWE,1984 Summer,Canoeing,Silver,26.0,185.0,88.0
M,SWE,1984 Summer,Canoeing,Silver,26.0,185.0,88.0
M,NOR,1996 Summer,Sailing,Bronze,25.0,180.0,94.0
F,ROU,2000 Summer,Swimming,Gold,16.0,170.0,68.0
F,ROU,2000 Summer,Swimming,Gold,16.0,170.0,68.0
F,USA,1996 Summer,Gymnastics,Gold,14.0,139.0,34.0
M,ITA,1956 Winter,Bobsleigh,Silver,26.0,187.0,84.0
F,FRA,1984 Summer,Fencing,Bronze,19.0,170.0,59.0
M,USA,2002 Winter,Ice Hockey,Silver,31.0,190.0,93.0
F,BUL,1976 Summer,Rowing,Silver,22.0,174.0,74.0
F,BUL,1980 Summer,Rowing,Silver,26.0,174.0,74.0
M,SWE,2006 Winter,Ice Hockey,Gold,31.0,193.0,99.0
M,HUN,2012 Summer,Wrestling,Bronze,24.0,170.0,55.0
M,URS,1968 Summer,Fencing,Silver,25.0,175.0,78.0
M,URS,1972 Summer,Fencing,Bronze,29.0,175.0,78.0
M,GEO,2012 Summer,Wrestling,Silver,25.0,185.0,110.0
M,USA,1994 Winter,Alpine Skiing,Gold,23.0,178.0,89.0
M,USA,1994 Winter,Alpine Skiing,Silver,23.0,178.0,89.0
F,USA,1972 Summer,Swimming,Gold,19.0,165.0,56.0
F,NOR,1994 Winter,Cross Country Skiing,Silver,26.0,167.0,58.0
F,NOR,1998 Winter,Cross Country Skiing,Bronze,30.0,167.0,58.0
F,NOR,1998 Winter,Cross Country Skiing,Silver,30.0,167.0,58.0
F,NOR,2002 Winter,Cross Country Skiing,Bronze,34.0,167.0,58.0
F,NOR,2002 Winter,Cross Country Skiing,Silver,34.0,167.0,58.0
M,BEL,1960 Summer,Athletics,Silver,30.0,175.0,70.0
F,AUS,2008 Summer,Triathlon,Bronze,23.0,171.0,57.0
M,USA,2004 Summer,Athletics,Silver,23.0,185.0,78.0
M,FRG,1984 Summer,Athletics,Gold,22.0,201.0,78.0
M,DEN,2012 Summer,Badminton,Silver,29.0,188.0,75.0
M,URS,1988 Winter,Ice Hockey,Gold,18.0,180.0,86.0
M,SWE,1988 Winter,Cross Country Skiing,Gold,24.0,174.0,69.0
M,IRI,2008 Summer,Wrestling,Bronze,28.0,160.0,60.0
M,IRI,1988 Summer,Wrestling,Silver,25.0,170.0,57.0
M,IRI,1992 Summer,Wrestling,Silver,29.0,170.0,57.0
F,ESP,2016 Summer,Rhythmic Gymnastics,Silver,21.0,173.0,53.0
F,GDR,1988 Summer,Swimming,Bronze,19.0,181.0,69.0
M,PAK,1984 Summer,Hockey,Gold,26.0,182.0,70.0
M,CAN,2010 Winter,Figure Skating,Gold,22.0,168.0,75.0
M,CAN,2014 Winter,Figure Skating,Silver,26.0,168.0,75.0
M,RUS,2004 Summer,Modern Pentathlon,Gold,25.0,195.0,83.0
M,RUS,2008 Summer,Modern Pentathlon,Gold,29.0,195.0,83.0
M,URS,1964 Summer,Modern Pentathlon,Bronze,28.0,185.0,80.0
M,URS,1964 Summer,Modern Pentathlon,Gold,28.0,185.0,80.0
M,RSA,2008 Summer,Athletics,Silver,23.0,190.0,76.0
M,RUS,2004 Summer,Fencing,Bronze,21.0,185.0,72.0
M,MDA,2000 Summer,Shooting,Silver,33.0,178.0,70.0
F,ROU,1984 Summer,Fencing,Silver,28.0,169.0,58.0
M,ROU,2012 Summer,Shooting,Gold,29.0,173.0,73.0
M,ITA,2000 Summer,Rowing,Silver,34.0,192.0,90.0
F,CAN,2016 Summer,Rugby Sevens,Bronze,25.0,159.0,65.0
M,ITA,2012 Summer,Taekwondo,Gold,28.0,183.0,78.0
F,NOR,2016 Summer,Handball,Bronze,25.0,178.0,73.0
F,AUS,2004 Summer,Tennis,Bronze,23.0,182.0,78.0
M,SWE,1980 Winter,Ice Hockey,Bronze,23.0,181.0,80.0
M,SWE,1988 Winter,Ice Hockey,Bronze,31.0,181.0,80.0
M,ESP,1984 Summer,Sailing,Gold,24.0,176.0,70.0
M,CAN,1984 Summer,Wrestling,Silver,21.0,198.0,107.0
F,GER,1936 Summer,Athletics,Bronze,27.0,175.0,82.0
M,FRG,1988 Summer,Rowing,Gold,26.0,190.0,88.0
M,GER,2010 Winter,Luge,Silver,28.0,188.0,90.0
M,GER,1996 Summer,Judo,Bronze,25.0,189.0,125.0
F,NZL,1992 Summer,Athletics,Bronze,37.0,175.0,55.0
F,GDR,1988 Summer,Athletics,Silver,24.0,168.0,57.0
M,IND,1972 Summer,Hockey,Bronze,26.0,172.0,66.0
M,USA,1936 Summer,Basketball,Gold,23.0,183.0,73.0
M,ITA,2012 Summer,Canoeing,Gold,27.0,170.0,69.0
M,HUN,1968 Summer,Water Polo,Bronze,23.0,185.0,92.0
M,HUN,1972 Summer,Water Polo,Silver,27.0,185.0,92.0
M,HUN,1976 Summer,Water Polo,Gold,30.0,185.0,92.0
M,HUN,1980 Summer,Water Polo,Bronze,34.0,185.0,92.0
M,HUN,2000 Summer,Water Polo,Gold,25.0,193.0,104.0
M,HUN,2004 Summer,Water Polo,Gold,29.0,193.0,104.0
M,HUN,2008 Summer,Water Polo,Gold,33.0,193.0,104.0
M,URS,1976 Summer,Volleyball,Silver,23.0,193.0,86.0
M,URS,1980 Summer,Volleyball,Gold,27.0,193.0,86.0
M,HUN,1968 Summer,Modern Pentathlon,Gold,28.0,184.0,74.0
M,URS,1988 Summer,Shooting,Gold,25.0,182.0,87.0
M,FRA,1996 Summer,Rowing,Silver,25.0,188.0,82.0
M,RUS,1996 Summer,Rowing,Bronze,31.0,180.0,105.0
M,AUS,1956 Summer,Swimming,Silver,18.0,192.0,83.0
M,CAN,1984 Summer,Rowing,Bronze,32.0,196.0,100.0
M,BAH,2000 Summer,Athletics,Bronze,21.0,193.0,87.0
M,BAH,2008 Summer,Athletics,Silver,29.0,193.0,87.0
M,USA,1988 Summer,Wrestling,Gold,26.0,178.0,74.0
M,USA,1992 Summer,Wrestling,Silver,30.0,178.0,74.0
M,URS,1964 Summer,Volleyball,Gold,30.0,172.0,74.0
M,URS,1968 Summer,Volleyball,Gold,34.0,172.0,74.0
M,ROU,1960 Summer,Boxing,Bronze,19.0,178.0,75.0
M,ROU,1968 Summer,Boxing,Silver,27.0,178.0,75.0
F,BRA,2004 Summer,Football,Silver,26.0,178.0,76.0
M,FRA,1920 Summer,Sailing,Silver,35.0,186.0,81.0
M,FRA,1996 Summer,Cycling,Gold,28.0,189.0,77.0
M,NZL,1992 Summer,Sailing,Bronze,25.0,180.0,92.0
F,CAN,1992 Summer,Rowing,Gold,26.0,178.0,75.0
F,CAN,1996 Summer,Rowing,Silver,30.0,178.0,75.0
M,ESP,1980 Summer,Hockey,Silver,21.0,180.0,72.0
M,CAN,1932 Winter,Ice Hockey,Gold,23.0,155.0,77.0
M,GER,2008 Summer,Hockey,Gold,24.0,188.0,88.0
M,BRA,1984 Summer,Volleyball,Silver,26.0,187.0,81.0
M,ITA,2004 Summer,Fencing,Gold,25.0,184.0,82.0
M,ITA,2004 Summer,Fencing,Silver,25.0,184.0,82.0
M,ITA,2008 Summer,Fencing,Bronze,29.0,184.0,82.0
M,ITA,2012 Summer,Fencing,Bronze,33.0,184.0,82.0
M,ITA,1976 Summer,Fencing,Silver,23.0,176.0,80.0
M,ITA,1972 Summer,Fencing,Gold,24.0,181.0,93.0
M,ITA,1976 Summer,Fencing,Silver,28.0,181.0,93.0
