Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
Bronze,28.0,191.0,79.0
Silver,19.0,178.0,105.0
Bronze,23.0,178.0,105.0
Bronze,25.0,165.0,57.0
Bronze,30.0,187.0,80.0
Bronze,26.0,183.0,74.0
Bronze,29.0,165.0,58.0
Bronze,21.0,173.0,67.0
Gold,25.0,173.0,67.0
Bronze,26.0,201.0,100.0
Bronze,17.0,174.0,62.0
Silver,23.0,192.0,88.0
Bronze,22.0,187.0,81.0
Bronze,41.0,178.0,82.0
Bronze,33.0,178.0,95.0
Bronze,45.0,178.0,95.0
Gold,49.0,178.0,95.0
Bronze,40.0,162.0,70.0
Bronze,31.0,175.0,57.0
Gold,25.0,170.0,63.0
Gold,40.0,175.0,67.0
Bronze,52.0,183.0,83.0
Bronze,27.0,178.0,69.0
Silver,23.0,191.0,72.0
Gold,26.0,164.0,55.0
Silver,33.0,176.0,74.0
Silver,23.0,154.0,52.0
Silver,26.0,172.0,73.0
Gold,30.0,172.0,73.0
Silver,25.0,190.0,81.0
Bronze,22.0,182.0,85.0
Gold,30.0,174.0,67.0
Bronze,25.0,179.0,80.0
Silver,31.0,187.0,84.0
Bronze,33.0,187.0,84.0
Gold,33.0,187.0,84.0
Silver,37.0,187.0,84.0
Bronze,24.0,192.0,156.0
Silver,23.0,182.0,75.0
Bronze,20.0,184.0,75.0
Silver,29.0,192.0,82.0
Bronze,18.0,182.0,75.0
Bronze,29.0,179.0,90.0
Bronze,26.0,177.0,67.0
Bronze,20.0,180.0,83.0
Gold,19.0,165.0,66.0
Bronze,17.0,165.0,57.0
Bronze,31.0,175.0,64.0
Gold,39.0,181.0,67.0
Silver,23.0,191.0,79.0
Bronze,24.0,181.0,87.0
Bronze,30.0,183.0,76.0
Silver,20.0,183.0,63.0
Gold,24.0,183.0,63.0
Gold,22.0,177.0,75.0
Bronze,17.0,170.0,59.0
Silver,23.0,184.0,75.0
Silver,27.0,171.0,71.0
Gold,26.0,171.0,58.0
Silver,30.0,171.0,58.0
Gold,28.0,200.0,130.0
Gold,32.0,200.0,130.0
Bronze,36.0,200.0,130.0
Gold,20.0,168.0,69.0
Silver,20.0,176.0,89.0
Bronze,22.0,180.0,81.0
Gold,26.0,180.0,81.0
Gold,30.0,180.0,81.0
Bronze,26.0,178.0,89.0
Silver,19.0,180.0,83.0
Gold,23.0,180.0,83.0
Bronze,20.0,190.0,98.0
Gold,24.0,190.0,98.0
Gold,30.0,185.0,160.0
Gold,34.0,185.0,160.0
Bronze,17.0,157.0,50.0
Bronze,26.0,193.0,96.0
Gold,30.0,193.0,96.0
Silver,22.0,200.0,85.0
Bronze,26.0,200.0,85.0
Silver,21.0,177.0,60.0
Silver,27.0,172.0,58.0
Silver,24.0,188.0,74.0
Bronze,23.0,170.0,69.0
Bronze,24.0,170.0,73.0
Gold,28.0,170.0,73.0
Bronze,18.0,179.0,71.0
Silver,22.0,179.0,71.0
Silver,26.0,157.0,52.0
Silver,26.0,189.0,81.0
Bronze,23.0,184.0,74.0
Silver,27.0,184.0,74.0
Bronze,33.0,181.0,88.0
Silver,21.0,207.0,90.0
Bronze,30.0,170.0,62.0
Gold,19.0,178.0,69.0
Gold,19.0,185.0,74.0
Gold,33.0,182.0,92.0
Silver,41.0,182.0,92.0
Bronze,23.0,183.0,77.0
Bronze,35.0,183.0,77.0
Gold,27.0,178.0,77.0
Silver,37.0,163.0,56.0
Gold,25.0,176.0,69.0
Silver,27.0,170.0,65.0
Gold,22.0,165.0,61.0
Silver,17.0,180.0,69.0
Silver,29.0,158.0,48.0
Gold,41.0,168.0,72.0
Bronze,45.0,168.0,72.0
Bronze,26.0,200.0,110.0
Silver,22.0,180.0,71.0
Gold,29.0,175.0,80.0
Bronze,32.0,175.0,80.0
Silver,26.0,203.0,106.0
Gold,30.0,203.0,106.0
Bronze,28.0,187.0,75.0
Gold,17.0,174.0,48.0
Bronze,18.0,185.0,57.0
Bronze,19.0,176.0,54.0
Bronze,23.0,168.0,68.0
Bronze,26.0,174.0,63.0
Bronze,25.0,193.0,93.0
Silver,22.0,175.0,72.0
Bronze,40.0,162.0,68.0
Silver,44.0,162.0,68.0
Gold,24.0,188.0,95.0
Bronze,21.0,185.0,86.0
Gold,34.0,163.0,53.0
Gold,26.0,170.0,65.0
Gold,25.0,192.0,93.0
Bronze,14.0,163.0,69.0
Gold,25.0,193.0,98.0
Bronze,29.0,193.0,98.0
Bronze,21.0,170.0,59.0
Silver,25.0,170.0,59.0
Bronze,29.0,170.0,59.0
Bronze,26.0,177.0,72.0
Bronze,23.0,180.0,73.0
Silver,54.0,180.0,71.0
Gold,54.0,180.0,71.0
Gold,15.0,163.0,59.0
Gold,34.0,167.0,60.0
Bronze,31.0,170.0,63.0
Bronze,29.0,170.0,69.0
Bronze,20.0,178.0,83.0
Gold,24.0,178.0,83.0
Silver,22.0,173.0,70.0
Bronze,20.0,188.0,73.0
Bronze,28.0,188.0,73.0
Bronze,28.0,182.0,70.0
Gold,20.0,180.0,80.0
Silver,25.0,182.0,74.0
Bronze,28.0,172.0,65.0
Bronze,23.0,164.0,52.0
Silver,22.0,155.0,51.0
Gold,22.0,190.0,82.0
Silver,22.0,190.0,82.0
Gold,26.0,190.0,82.0
Gold,26.0,190.0,82.0
Gold,30.0,190.0,82.0
Gold,30.0,190.0,82.0
Silver,23.0,180.0,64.0
Silver,23.0,180.0,64.0
Bronze,23.0,180.0,64.0
Silver,28.0,181.0,78.0
Gold,27.0,172.0,60.0
Bronze,31.0,172.0,60.0
Bronze,26.0,193.0,92.0
Silver,25.0,180.0,72.0
Bronze,18.0,177.0,70.0
Bronze,19.0,165.0,64.0
Bronze,20.0,173.0,62.0
Silver,24.0,175.0,72.0
Bronze,22.0,198.0,97.0
Bronze,21.0,173.0,60.0
Bronze,25.0,173.0,60.0
Bronze,26.0,176.0,70.0
Silver,30.0,176.0,70.0
Silver,23.0,178.0,83.0
Silver,25.0,194.0,88.0
Silver,29.0,190.0,91.0
Bronze,21.0,166.0,63.0
Bronze,23.0,169.0,60.0
Bronze,16.0,158.0,44.0
Bronze,16.0,158.0,44.0
Silver,16.0,158.0,44.0
Gold,16.0,158.0,44.0
Gold,20.0,158.0,44.0
Gold,20.0,158.0,44.0
Bronze,20.0,158.0,44.0
Bronze,19.0,170.0,69.0
Bronze,23.0,170.0,67.0
Bronze,24.0,177.0,73.0
Bronze,28.0,177.0,75.0
Silver,26.0,168.0,73.0
Bronze,34.0,175.0,74.0
Gold,34.0,175.0,74.0
Silver,34.0,193.0,80.0
Bronze,20.0,183.0,67.0
Silver,18.0,183.0,78.0
Silver,30.0,183.0,78.0
Bronze,26.0,170.0,63.0
Silver,25.0,198.0,87.0
Gold,33.0,198.0,87.0
Bronze,24.0,190.0,90.0
Bronze,28.0,190.0,90.0
Gold,21.0,182.0,68.0
Silver,22.0,188.0,85.0
Gold,21.0,174.0,77.0
Silver,19.0,187.0,70.0
Gold,23.0,172.0,70.0
Gold,31.0,185.0,90.0
Gold,23.0,173.0,74.0
Silver,29.0,180.0,87.0
Bronze,28.0,184.0,73.0
Gold,27.0,186.0,86.0
Gold,29.0,186.0,91.0
Gold,20.0,171.0,55.0
Gold,20.0,171.0,55.0
Gold,28.0,171.0,55.0
Gold,28.0,171.0,55.0
Silver,43.0,183.0,71.0
Gold,23.0,182.0,78.0
Silver,31.0,183.0,91.0
Bronze,24.0,163.0,55.0
Bronze,29.0,165.0,62.0
Silver,18.0,179.0,60.0
Bronze,24.0,158.0,55.0
Gold,24.0,182.0,77.0
Bronze,27.0,160.0,58.0
Bronze,19.0,183.0,70.0
Gold,23.0,195.0,88.0
Bronze,27.0,195.0,88.0
Gold,25.0,176.0,70.0
Bronze,20.0,171.0,85.0
Gold,31.0,188.0,84.0
Silver,22.0,169.0,66.0
Gold,22.0,172.0,78.0
Bronze,25.0,166.0,67.0
Gold,23.0,163.0,62.0
Bronze,23.0,183.0,74.0
Bronze,27.0,162.0,62.0
Silver,28.0,160.0,52.0
Gold,32.0,160.0,52.0
Gold,18.0,155.0,48.0
Bronze,20.0,170.0,65.0
Gold,20.0,170.0,65.0
Gold,20.0,170.0,65.0
Gold,28.0,170.0,65.0
Gold,28.0,170.0,65.0
Bronze,28.0,170.0,65.0
Gold,28.0,170.0,65.0
Silver,20.0,174.0,70.0
Silver,19.0,173.0,70.0
Bronze,19.0,173.0,70.0
Bronze,23.0,173.0,70.0
Silver,23.0,170.0,65.0
Bronze,26.0,187.0,73.0
Bronze,24.0,183.0,68.0
Bronze,24.0,185.0,80.0
Silver,16.0,171.0,52.0
Silver,23.0,188.0,81.0
Silver,19.0,176.0,65.0
Gold,23.0,176.0,65.0
Bronze,20.0,195.0,84.0
Gold,26.0,178.0,77.0
Gold,28.0,170.0,97.0
Silver,31.0,187.0,104.0
Bronze,32.0,174.0,73.0
Bronze,23.0,183.0,86.0
Bronze,23.0,168.0,56.0
Gold,23.0,169.0,65.0
Gold,27.0,169.0,65.0
Silver,29.0,179.0,82.0
Gold,28.0,172.0,72.0
Gold,23.0,169.0,64.0
Gold,30.0,187.0,75.0
Bronze,23.0,173.0,60.0
Bronze,28.0,178.0,70.0
Silver,30.0,173.0,73.0
Bronze,27.0,180.0,75.0
Silver,30.0,172.0,53.0
Bronze,20.0,176.0,77.0
Gold,30.0,190.0,95.0
Silver,34.0,190.0,95.0
Gold,21.0,173.0,64.0
